,learning_rate,max_depth,min_child_weight,colsample_bytree,subsample,n_estimators,reg_alpha,mean_test_score,std_test_score,rank_test_score
39,0.023320430565262364,8,1,0.6,0.8,800,8.641092831956817,0.7825594453878633,0.004698535768540914,1
43,0.013748892994146378,8,4,0.8,0.6,1600,0.0057578404315066925,0.7817999637584083,0.005376172832963083,2
41,0.011852382959978838,16,1,0.6,0.8,1600,6.728249063521217,0.7810566881704641,0.0048622414368995484,3
46,0.03242604490732343,8,4,0.6,0.6,400,0.11138158800230856,0.7794701687515622,0.005454541593674286,4
22,0.0010769479213056567,16,1,0.8,0.6,6400,8.086448869040362,0.7789624264402143,0.005211314539346111,5
34,0.05251572328844545,1,1,0.6,0.8,6400,0.4177364272284123,0.7777551236057288,0.005446841157880678,6
1,0.009206447794701925,8,8,0.8,0.8,800,0.008134276174546005,0.7771409351039935,0.005654543510570915,7
9,0.08226952497328248,8,1,0.8,0.8,200,0.019447243610400896,0.7749891628233252,0.005136100582218918,8
12,0.014012924613980182,1,4,0.6,0.6,6400,0.001736359277280974,0.7742580747473429,0.005776005820643698,9
16,0.0813731163530017,1,8,0.6,0.8,800,0.008608283084232497,0.770945032390149,0.005911513860538743,10
24,0.03023898655112648,1,1,0.6,0.6,1600,0.030987427488603513,0.7687954737758341,0.006098767251283136,11
37,0.11554444964908311,4,1,0.6,0.8,1600,0.0020250666824379836,0.768457568918555,0.004049804286552396,12
31,0.0530417698462727,1,8,0.8,0.6,800,0.22978991091234488,0.7675644557396485,0.006046874620380552,13
18,0.03938742414035535,4,8,0.8,0.8,200,0.005901548051933936,0.7675510026695955,0.006110810277268758,14
21,0.04106980494771965,8,4,0.8,0.8,1600,0.013926054259564056,0.7673734631175422,0.004681545133273081,15
42,0.044641772773286084,16,4,0.6,0.6,1600,0.018852723999430464,0.7640981940509887,0.004326389685070668,16
23,0.024720704306041223,8,4,0.6,0.8,6400,0.026434706783978777,0.7637145524477446,0.00454182164778842,17
49,0.08219509043251368,16,1,0.6,0.8,200,0.0014044864722569373,0.7635187391779039,0.005175140192173119,18
0,0.015785879167284286,16,1,0.8,0.8,200,0.003951051238684675,0.7606106022977006,0.0056216280831732504,19
17,0.6314752723954506,1,8,0.6,0.6,6400,3.3934309266741853,0.7600039799351074,0.005349329373379294,20
8,0.013815136882029323,4,1,0.8,0.6,400,0.1640356779237972,0.7597468152416831,0.006323192956858996,21
33,0.04012136206600162,8,1,0.8,0.6,6400,2.580808722626599,0.7593736343047213,0.004459500818914187,22
3,0.0011809134847681286,8,1,0.8,0.6,1600,0.023121848058126563,0.7534857253651144,0.006437209707578497,23
14,0.07026160626681249,16,8,0.6,0.8,6400,0.021624251701345652,0.7534495151567618,0.0044964676100055865,24
20,0.13535602969095809,8,8,0.8,0.6,400,0.009076684529816404,0.7533748905355963,0.004592490779694191,25
13,0.2270019339736765,4,1,0.6,0.6,800,0.32465882620932607,0.7533085335916228,0.005254336056990233,26
15,0.0010630220434127615,8,4,0.8,0.6,1600,2.152902823029653,0.7522788142935432,0.0066826823010115,27
40,0.0027825363067361165,4,8,0.8,0.8,1600,0.04872215752385874,0.7519847056699621,0.005736568072440623,28
10,0.116059182741905,8,1,0.6,0.8,800,0.0010398486542404959,0.7509793944713079,0.004305195164267529,29
32,0.1008430934004973,8,1,0.6,0.8,6400,0.0965818905522689,0.7500492255570494,0.004849330913033744,30
36,0.03474309683547048,1,1,0.6,0.6,400,0.006436543514756469,0.7498106750425683,0.006163088544330964,31
45,0.009742906737492268,4,8,0.8,0.6,400,0.18492017625575813,0.7482434724696427,0.00583644556861224,32
35,0.02985017368499556,1,8,0.8,0.6,400,0.006211643998155319,0.7466391862854286,0.005917142740401799,33
47,0.14793617699674588,8,8,0.6,0.8,6400,2.1720908402600823,0.7456003981053633,0.00351275023791436,34
25,0.002007087335511819,4,1,0.8,0.6,1600,0.4646684461910851,0.7429422063370987,0.005422858187728919,35
26,0.24357833727787226,4,8,0.8,0.8,1600,0.002801146184162987,0.7412789778100273,0.0036441985503316856,36
27,0.28803223782517984,4,4,0.6,0.8,1600,0.0029785185575732127,0.73386794852308,0.003320784560448187,37
30,0.0030552673910936978,4,1,0.6,0.8,400,0.008893670318326418,0.7330896312815015,0.006811488209235002,38
2,0.29062882528591066,8,4,0.6,0.8,6400,0.06683145271704173,0.7312859098784464,0.004908930897895043,39
5,0.38143701538473557,8,1,0.8,0.6,6400,0.27682701328568615,0.721917393177975,0.0039042779312578866,40
28,0.0022017450388544034,1,1,0.8,0.6,1600,5.719901113722078,0.708310045484406,0.00370400231808443,41
6,0.003482456005811446,1,1,0.8,0.8,800,2.192764457564263,0.7060116596747802,0.0036870548463727717,42
11,0.0046921605995983925,16,1,0.8,0.6,200,0.0340516266334121,0.7053612133217178,0.007813568061098793,43
7,0.6569723882424738,16,4,0.8,0.6,400,0.00197878047072569,0.6937585406403186,0.004509958070637915,44
44,0.0020645925053849675,8,8,0.8,0.8,400,0.004272320981129288,0.6918614326114798,0.008858888220956384,45
4,0.004059069226323948,16,1,0.8,0.6,200,0.0010809646233787076,0.6833032857507048,0.006737026248112888,46
29,0.005322984831751977,1,4,0.8,0.6,200,0.9764600919840432,0.6684748227092923,0.0038568223797786636,47
48,0.0012779240967489666,8,4,0.8,0.6,400,1.5982610914069082,0.6256594582108845,0.003014741009279083,48
38,0.001940978738482217,1,4,0.8,0.8,200,0.06609256594020183,0.5654142201438754,0.004827883081916088,49
19,0.0010353904247296546,16,1,0.6,0.6,200,0.001283394141929426,0.5598727323141863,0.0016641730756755066,50
